timestamp,bid_price,bid_size,ask_price,ask_size
2024-01-01T00:00:00,42586.70000000,19.85200000,42613.20000000,19.85200000
2024-01-01T00:01:00,42610.10000000,32.47300000,42629.20000000,32.47300000
2024-01-01T00:02:00,42623.70000000,10.86450000,42630.50000000,10.86450000
2024-01-01T00:03:00,42626.20000000,33.92100000,42634.60000000,33.92100000
2024-01-01T00:04:00,42621.30000000,20.85950000,42632.60000000,20.85950000
2024-01-01T00:05:00,42616.90000000,20.62950000,42626.00000000,20.62950000
2024-01-01T00:06:00,42625.90000000,30.51100000,42640.10000000,30.51100000
2024-01-01T00:07:00,42622.90000000,20.42600000,42636.60000000,20.42600000
2024-01-01T00:08:00,42628.80000000,14.40850000,42639.30000000,14.40850000
2024-01-01T00:09:00,42636.00000000,20.69850000,42643.90000000,20.69850000
2024-01-01T00:10:00,42623.60000000,36.51150000,42650.00000000,36.51150000
2024-01-01T00:11:00,42638.00000000,13.44100000,42650.00000000,13.44100000
2024-01-01T00:12:00,42629.50000000,6.73350000,42640.40000000,6.73350000
2024-01-01T00:13:00,42626.70000000,17.61700000,42631.80000000,17.61700000
2024-01-01T00:14:00,42626.70000000,12.41700000,42634.00000000,12.41700000
2024-01-01T00:15:00,42629.60000000,11.86050000,42634.00000000,11.86050000
2024-01-01T00:16:00,42629.80000000,32.33950000,42680.50000000,32.33950000
2024-01-01T00:17:00,42670.50000000,49.91250000,42684.30000000,49.91250000
2024-01-01T00:18:00,42674.90000000,122.06250000,42717.00000000,122.06250000
2024-01-01T00:19:00,42683.50000000,21.00450000,42700.20000000,21.00450000
2024-01-01T00:20:00,42678.00000000,12.45900000,42683.60000000,12.45900000
2024-01-01T00:21:00,42671.10000000,21.10000000,42680.20000000,21.10000000
2024-01-01T00:22:00,42659.90000000,17.87700000,42674.80000000,17.87700000
2024-01-01T00:23:00,42656.00000000,8.12900000,42666.70000000,8.12900000
2024-01-01T00:24:00,42657.30000000,62.61350000,42699.50000000,62.61350000
2024-01-01T00:25:00,42680.40000000,10.75150000,42693.80000000,10.75150000
2024-01-01T00:26:00,42670.90000000,8.48350000,42686.80000000,8.48350000
2024-01-01T00:27:00,42678.30000000,22.92350000,42693.80000000,22.92350000
2024-01-01T00:28:00,42674.70000000,17.81750000,42685.10000000,17.81750000
2024-01-01T00:29:00,42674.70000000,3.68150000,42674.80000000,3.68150000
2024-01-01T00:30:00,42656.00000000,30.49650000,42689.10000000,30.49650000
2024-01-01T00:31:00,42646.60000000,14.33350000,42663.60000000,14.33350000
2024-01-01T00:32:00,42645.50000000,13.07800000,42654.20000000,13.07800000
2024-01-01T00:33:00,42634.80000000,20.81850000,42645.60000000,20.81850000
2024-01-01T00:34:00,42635.40000000,28.07800000,42649.80000000,28.07800000
2024-01-01T00:35:00,42621.80000000,49.29750000,42643.20000000,49.29750000
2024-01-01T00:36:00,42613.10000000,20.98800000,42624.20000000,20.98800000
2024-01-01T00:37:00,42613.00000000,20.46550000,42624.00000000,20.46550000
2024-01-01T00:38:00,42616.10000000,7.18900000,42620.70000000,7.18900000
2024-01-01T00:39:00,42591.70000000,181.08850000,42657.20000000,181.08850000
2024-01-01T00:40:00,42632.10000000,22.52850000,42654.00000000,22.52850000
2024-01-01T00:41:00,42616.10000000,98.31950000,42652.00000000,98.31950000
2024-01-01T00:42:00,42629.60000000,8.88350000,42645.00000000,8.88350000
2024-01-01T00:43:00,42629.60000000,123.41550000,42663.70000000,123.41550000
2024-01-01T00:44:00,42640.00000000,55.24150000,42657.00000000,55.24150000
2024-01-01T00:45:00,42623.70000000,19.26000000,42640.00000000,19.26000000
2024-01-01T00:46:00,42610.40000000,28.01700000,42624.00000000,28.01700000
2024-01-01T00:47:00,42611.80000000,20.67600000,42625.60000000,20.67600000
2024-01-01T00:48:00,42611.10000000,9.81050000,42622.50000000,9.81050000
2024-01-01T00:49:00,42610.00000000,12.10550000,42617.40000000,12.10550000
2024-01-01T00:50:00,42612.80000000,11.95950000,42617.40000000,11.95950000
2024-01-01T00:51:00,42596.10000000,25.28550000,42616.40000000,25.28550000
2024-01-01T00:52:00,42575.20000000,91.18350000,42599.30000000,91.18350000
2024-01-01T00:53:00,42587.70000000,32.22000000,42602.40000000,32.22000000
2024-01-01T00:54:00,42582.00000000,50.40050000,42600.00000000,50.40050000
2024-01-01T00:55:00,42558.20000000,63.60950000,42582.10000000,63.60950000
2024-01-01T00:56:00,42563.40000000,36.42000000,42578.00000000,36.42000000
2024-01-01T00:57:00,42563.40000000,22.99400000,42576.90000000,22.99400000
2024-01-01T00:58:00,42562.30000000,29.83950000,42576.90000000,29.83950000
2024-01-01T00:59:00,42558.90000000,14.62350000,42568.90000000,14.62350000
2024-01-01T01:00:00,42550.00000000,31.77450000,42559.00000000,31.77450000
2024-01-01T01:01:00,42509.40000000,256.20750000,42555.50000000,256.20750000
2024-01-01T01:02:00,42524.90000000,50.09350000,42547.50000000,50.09350000
2024-01-01T01:03:00,42547.40000000,38.44700000,42565.90000000,38.44700000
2024-01-01T01:04:00,42540.50000000,31.37250000,42551.80000000,31.37250000
2024-01-01T01:05:00,42542.70000000,30.62600000,42565.00000000,30.62600000
